#mjd,filter,propid,dmag,mag
57795.451218,rp,KEY2014A-003,0.0111412218949,15.944742942485629
57795.4493667,rp,KEY2014A-003,0.0111412218949,15.955190299155596
57795.4463794,gp,KEY2014A-003,0.0133781511632,15.983314284445823
57795.4435955,gp,KEY2014A-003,0.0140307693889,16.02598415930793
57795.4856721,V,KEY2014A-003,0.0402126176675,15.92491038351076
57795.4838139,V,KEY2014A-003,0.0402126176675,15.940117857377123
57795.4808805,B,KEY2014A-003,0.0313054628796,15.63277335605263
57795.4780862,B,KEY2014A-003,0.0313054628796,15.644659918532277
57796.1723606,V,KEY2014A-003,0.0394699960084,15.791463561676103
57796.1705153,V,KEY2014A-003,0.0394699960084,15.775144995624007
57796.1675719,B,KEY2014A-003,0.0316212896184,15.919102731309174
57796.1647967,B,KEY2014A-003,0.0310169439553,15.914503816525482
57796.1657498,ip,KEY2014A-003,0.0113627953545,15.748611050933599
57796.1639017,ip,KEY2014A-003,0.0131813902159,15.74621209387909
57796.1619089,rp,KEY2014A-003,0.0102027629561,15.849731471813676
57796.1600556,rp,KEY2014A-003,0.0120940376823,15.84211459754212
57796.1570829,gp,KEY2014A-003,0.0127999726533,15.629019240730157
57796.1543062,gp,KEY2014A-003,0.0127999726533,15.611769526190477
57796.7409174,gp,KEY2014A-003,0.00884074650024,15.626865130989163
57796.7381259,gp,KEY2014A-003,0.00879495345383,15.646491532952773
57796.5801151,B,KEY2014A-003,0.5355607902003282,16.89967997867
57796.4840024,ip,KEY2014A-003,0.0225035124322,15.808868831706643
57796.4821487,ip,KEY2014A-003,0.0206051924379,15.80606224840436
57796.4800796,rp,KEY2014A-003,0.0191097410559,15.762037169593656
57796.4782249,rp,KEY2014A-003,0.0169186622476,15.725016926303269
57796.4752489,gp,KEY2014A-003,0.0185054786105,15.682974916955715
57796.4724577,gp,KEY2014A-003,0.0175049047951,15.685548521441046
57796.807914,ip,KEY2014A-003,0.0103671554498,15.77327332969772
57796.8060419,ip,KEY2014A-003,0.011269620633,15.824179889311198
57796.8040021,rp,KEY2014A-003,0.00862451097914,15.714645385530229
57796.8021213,rp,KEY2014A-003,0.010598803121,15.711128314410306
57796.7991531,gp,KEY2014A-003,0.0102558316932,15.679210162253078
57796.7963695,gp,KEY2014A-003,0.008036094911,15.652205293713894
57796.8147136,V,KEY2014A-003,0.0122934721341,15.674371413825742
57796.812835,V,KEY2014A-003,0.013220129747,15.683320612825824
57796.8097756,B,KEY2014A-003,0.0170130739361,15.78095219592285
57796.8068927,B,KEY2014A-003,0.0092668960571,15.786870887409982
57797.1780344,V,KEY2014A-003,0.0166921210447,15.890370713455445
57797.1761853,V,KEY2014A-003,0.0166921210447,15.890769850405942
57797.1732634,B,KEY2014A-003,0.0138807593739,16.534970810528716
57797.1704889,B,KEY2014A-003,0.0160759209304,16.52316396426733
57797.1383272,ip,KEY2014A-003,0.0119805254774,15.74141029305649
57797.1364741,ip,KEY2014A-003,0.010129991203,15.74456691142121
57797.1344766,rp,KEY2014A-003,0.0107843609497,15.701453149470762
57797.132628,rp,KEY2014A-003,0.0088515537124,15.711310117565908
57797.1296453,gp,KEY2014A-003,0.0130173570398,15.133270247558706
57797.1268698,gp,KEY2014A-003,0.0130173570398,15.152156628125507
57797.5270497,ip,KEY2014A-003,0.0103895028215,15.910737693970265
57797.5251699,ip,KEY2014A-003,0.00862930017796,15.88614876313974
57797.5231265,rp,KEY2014A-003,0.00740813847377,15.85499435334787
57797.5212492,rp,KEY2014A-003,0.00740813847377,15.857682850354808
57797.5182664,gp,KEY2014A-003,0.0266900968848,15.538966796408161
57797.5153932,gp,KEY2014A-003,0.0266900968848,15.5505941670034
57797.8711637,V,KEY2014A-003,0.0109314583693,15.625216730083167
57797.869308,V,KEY2014A-003,0.0103021189936,15.629830803112872
57797.8663582,B,KEY2014A-003,0.0102389902836,15.773435001596038
57797.8635712,B,KEY2014A-003,0.00937811575072,15.767214866479208
57797.818107,ip,KEY2014A-003,0.00723948314854,15.683700494078296
57797.8162511,ip,KEY2014A-003,0.00814597504119,15.683398830327056
57797.8142274,rp,KEY2014A-003,0.00599162743786,15.632888006105052
57797.8123653,rp,KEY2014A-003,0.00675969206539,15.632779672745293
57797.8093726,gp,KEY2014A-003,0.00667406175709,15.605076420959538
57797.8065875,gp,KEY2014A-003,0.00667406175709,15.612931410046244
57797.8166578,V,KEY2014A-003,0.015257211809,15.139187415198098
57797.8147746,V,KEY2014A-003,0.015257211809,15.1415225762278
57797.8116234,B,KEY2014A-003,0.0146924953746,15.316578368435106
57797.8088128,B,KEY2014A-003,0.0146924953746,15.31856832209909
57798.1142458,gp,KEY2014A-003,0.0105442173342,15.627373845500614
57798.1114727,gp,KEY2014A-003,0.00987962521135,15.635380673966873
57798.122901,ip,KEY2014A-003,0.0114295099799,15.65268821881665
57798.1216613,B,KEY2014A-003,0.0166877584542,15.793178414570297
57798.1210343,ip,KEY2014A-003,0.0105407169541,15.648684897587708
57798.1190287,rp,KEY2014A-003,0.00854953385333,15.588164271672943
57798.1171753,rp,KEY2014A-003,0.00937922045398,15.628707441690782
57798.1292173,V,KEY2014A-003,0.0165071473174,15.661018286142575
57798.1273671,V,KEY2014A-003,0.0181672548156,15.694639438332674
57798.1244462,B,KEY2014A-003,0.0166877584542,15.814648048140594
57798.5633862,V,KEY2014A-003,0.0187747345772,15.498334813338614
57798.561521,V,KEY2014A-003,0.020275152486,15.503198470653466
57798.5585587,B,KEY2014A-003,0.0180801867335,15.744326836863365
57798.5557114,B,KEY2014A-003,0.0176804285538,15.724819172451486
57798.5252796,V,KEY2014A-003,0.0192344797673,15.483304176348515
57798.5233964,V,KEY2014A-003,0.0197356427617,15.507730390495048
57798.5222154,ip,KEY2014A-003,0.0101292899654,15.624001845633302
57798.5204366,B,KEY2014A-003,0.0176804285538,15.721886273473267
57798.5203577,ip,KEY2014A-003,0.0109668092016,15.626021743488604
57798.5183428,rp,KEY2014A-003,0.0116729016441,15.595124141625373
57798.5176624,B,KEY2014A-003,0.0180801867335,15.717093212277227
57798.516492,rp,KEY2014A-003,0.0116729016441,15.593069062616454
